Intervalle,bbq_ckn,big_meat,brie_carre,calabrese,cali_ckn,ckn_alfredo,ckn_pesto,classic_dlx,five_cheese,four_cheese,green_garden,hawaiian,ital_cpcllo,ital_supr,ital_veggie,mediterraneo,mexicana,napolitana,pep_msh_pep,pepperoni,peppr_salami,prsc_argla,sicilian,soppressata,southw_ckn,spicy_ital,spin_pesto,spinach_fet,spinach_supr,thai_ckn,the_greek,veggie_veg
00:01-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:31-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:01-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:31-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:01-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:31-03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:01-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:31-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:01-04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:31-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:01-05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:31-06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:01-06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:31-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:01-07:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:31-08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08:01-08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08:31-09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:01-09:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:31-10:00,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0
10:01-10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
10:31-11:00,0,0,0,1.0,3.0,1.0,1.0,1.0,0,2.0,0,0,1.0,0,0,0,0,3.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,1.0,0,0
11:01-11:30,27.0,15.0,3.0,15.0,28.0,7.0,9.0,19.0,16.0,18.0,11.0,27.0,24.0,24.0,13.0,9.0,25.0,17.0,12.0,28.0,15.0,23.0,26.0,15.0,21.0,23.0,5.0,20.0,9.0,31.0,15.0,10.0
11:31-12:00,105.0,82.0,19.0,40.0,97.0,43.0,57.0,109.0,61.0,78.0,37.0,144.0,76.0,81.0,41.0,45.0,64.0,63.0,78.0,108.0,76.0,50.0,92.0,44.0,76.0,97.0,41.0,65.0,40.0,112.0,61.0,52.0
12:01-12:30,177.0,140.0,43.0,74.0,141.0,61.0,62.0,167.0,87.0,149.0,67.0,150.0,97.0,122.0,64.0,55.0,92.0,88.0,78.0,170.0,101.0,96.0,127.0,59.0,122.0,124.0,52.0,82.0,47.0,150.0,84.0,120.0
12:31-13:00,153.0,152.0,41.0,56.0,185.0,72.0,74.0,170.0,121.0,151.0,75.0,172.0,103.0,129.0,74.0,66.0,94.0,109.0,101.0,177.0,84.0,109.0,153.0,68.0,131.0,135.0,82.0,106.0,67.0,165.0,88.0,113.0
13:01-13:30,164.0,145.0,29.0,73.0,174.0,75.0,69.0,207.0,103.0,123.0,65.0,159.0,107.0,113.0,82.0,57.0,111.0,108.0,100.0,155.0,90.0,106.0,141.0,67.0,149.0,130.0,67.0,105.0,74.0,168.0,102.0,104.0
13:31-14:00,126.0,93.0,28.0,41.0,139.0,48.0,56.0,142.0,85.0,116.0,49.0,156.0,73.0,130.0,53.0,58.0,86.0,92.0,60.0,147.0,87.0,100.0,110.0,56.0,120.0,104.0,61.0,79.0,49.0,142.0,81.0,85.0
